year,state,over_payment,under_payment,error_rate
2022,ALABAMA,3.96,0.72,4.68
2022,ALASKA,56.69,0.29,56.97
2022,ARIZONA,9.62,1.77,11.39
2022,ARKANSAS,10.21,1.10,11.31
2022,CALIFORNIA,9.59,1.51,11.10
2022,COLORADO,5.29,2.02,7.31
2022,CONNECTICUT,7.21,1.73,8.93
2022,DELAWARE,18.61,3.83,22.43
2022,DISTRICT OF COLUMBIA,14.55,4.40,18.95
2022,FLORIDA,7.45,1.15,8.59
2022,GEORGIA,11.75,3.23,14.98
2022,GUAM,12.68,3.63,16.31
2022,HAWAII,19.65,2.13,21.78
2022,IDAHO,3.26,0.18,3.44
2022,ILLINOIS,9.67,1.24,10.91
2022,INDIANA,6.59,2.10,8.69
2022,IOWA,6.78,1.82,8.60
2022,KANSAS,8.74,0.33,9.07
2022,KENTUCKY,5.05,0.78,5.83
2022,LOUISIANA,6.00,1.20,7.19
2022,MAINE,13.59,1.27,14.86
2022,MARYLAND,32.65,2.91,35.56
2022,MASSACHUSETTS,10.77,1.00,11.77
2022,MICHIGAN,10.22,2.78,13.00
2022,MINNESOTA,5.49,2.75,8.24
2022,MISSISSIPPI,6.63,1.16,7.79
2022,MISSOURI,12.02,1.01,13.03
2022,MONTANA,7.71,2.26,9.97
2022,NEBRASKA,6.39,0.95,7.34
2022,NEVADA,6.10,1.12,7.22
2022,NEW HAMPSHIRE,7.71,4.63,12.34
2022,NEW JERSEY,4.92,1.32,6.24
2022,NEW MEXICO,11.39,1.04,12.43
2022,NEW YORK,10.35,2.54,12.89
2022,NORTH CAROLINA,17.44,1.63,19.07
2022,NORTH DAKOTA,8.06,1.45,9.51
2022,OHIO,6.14,0.96,7.10
2022,OKLAHOMA,7.67,1.22,8.89
2022,OREGON,21.76,1.23,22.99
2022,PENNSYLVANIA,12.54,1.91,14.44
2022,RHODE ISLAND,12.18,2.41,14.59
2022,SOUTH CAROLINA,7.49,1.70,9.19
2022,SOUTH DAKOTA,2.68,0.39,3.07
2022,TENNESSEE,19.04,0.75,19.79
2022,TEXAS,5.26,2.60,7.86
2022,UTAH,5.58,1.03,6.61
2022,VERMONT,4.10,0.47,4.57
2022,VIRGIN ISLANDS,5.95,1.28,7.22
2022,VIRGINIA,7.66,1.68,9.34
2022,WASHINGTON,8.65,0.68,9.33
2022,WEST VIRGINIA,7.56,1.79,9.35
