year,state,over_payment,under_payment,error_rate
2017,ALABAMA,3.15,1.04,4.19
2017,ALASKA,5.80,1.47,7.27
2017,ARIZONA,7.55,1.54,9.08
2017,ARKANSAS,5.17,1.68,6.85
2017,CALIFORNIA,6.61,1.33,7.93
2017,COLORADO,4.75,1.48,6.22
2017,CONNECTICUT,4.71,0.87,5.58
2017,DELAWARE,12.27,1.67,13.95
2017,DISTRICT OF COLUMBIA,8.72,1.99,10.70
2017,FLORIDA,5.28,1.14,6.42
2017,GEORGIA,5.50,1.03,6.53
2017,GUAM,5.00,2.56,7.56
2017,HAWAII,4.74,1.10,5.84
2017,IDAHO,2.05,0.33,2.38
2017,ILLINOIS,5.01,0.71,5.73
2017,INDIANA,8.84,1.05,9.89
2017,IOWA,8.36,1.25,9.61
2017,KANSAS,2.90,0.95,3.85
2017,KENTUCKY,5.63,0.69,6.32
2017,LOUISIANA,5.51,1.04,6.56
2017,MAINE,9.56,1.49,11.04
2017,MARYLAND,5.21,1.23,6.44
2017,MASSACHUSETTS,3.09,0.95,4.04
2017,MICHIGAN,9.06,2.07,11.13
2017,MINNESOTA,5.71,1.43,7.14
2017,MISSISSIPPI,2.80,0.49,3.29
2017,MISSOURI,7.06,1.26,8.32
2017,MONTANA,7.34,1.20,8.54
2017,NEBRASKA,3.54,0.52,4.06
2017,NEVADA,4.77,0.99,5.76
2017,NEW HAMPSHIRE,3.63,1.01,4.64
2017,NEW JERSEY,4.44,0.97,5.41
2017,NEW MEXICO,5.81,1.09,6.90
2017,NEW YORK,4.65,0.88,5.53
2017,NORTH CAROLINA,3.78,1.47,5.25
2017,NORTH DAKOTA,3.68,1.26,4.93
2017,OHIO,4.47,1.04,5.51
2017,OKLAHOMA,4.50,1.03,5.53
2017,OREGON,5.69,0.47,6.15
2017,PENNSYLVANIA,4.64,0.44,5.08
2017,RHODE ISLAND,10.07,1.17,11.24
2017,SOUTH CAROLINA,3.05,1.16,4.21
2017,SOUTH DAKOTA,0.85,0.36,1.21
2017,TENNESSEE,3.96,0.52,4.48
2017,TEXAS,2.81,1.32,4.13
2017,UTAH,4.51,1.08,5.59
2017,VERMONT,6.51,1.17,7.68
2017,VIRGIN ISLANDS,2.87,0.47,3.34
2017,VIRGINIA,7.95,1.75,9.70
2017,WASHINGTON,4.52,0.90,5.42
2017,WEST VIRGINIA,8.15,1.43,9.58
2017,WISCONSIN,6.26,0.92,7.17
2017,WYOMING,2.52,0.83,3.35
2018,ALABAMA,3.93,0.66,4.59
2018,ALASKA,4.66,1.71,6.37
2018,ARIZONA,4.95,1.04,5.99
2018,ARKANSAS,4.77,0.83,5.60
2018,CALIFORNIA,5.96,1.30,7.25
2018,COLORADO,4.04,1.39,5.43
2018,CONNECTICUT,6.72,2.05,8.77
2018,DELAWARE,11.95,1.29,13.24
2018,DISTRICT OF COLUMBIA,13.69,2.65,16.33
2018,FLORIDA,3.90,0.49,4.39
2018,GEORGIA,7.39,1.72,9.11
2018,GUAM,6.82,2.28,9.09
2018,HAWAII,3.67,0.81,4.48
2018,IDAHO,1.83,0.30,2.13
2018,ILLINOIS,7.89,1.72,9.61
2018,INDIANA,6.24,0.94,7.18
2018,IOWA,8.91,1.11,10.02
2018,KANSAS,4.83,1.03,5.86
2018,KENTUCKY,6.42,0.76,7.17
