state,households,year
ALABAMA,1897576,2019
ALASKA,252199,2019
ARIZONA,2670441,2019
ARKANSAS,1163647,2019
CALIFORNIA,13157873,2019
COLORADO,2235103,2019
CONNECTICUT,1377166,2019
DELAWARE,376239,2019
DISTRICT OF COLUMBIA,291570,2019
FLORIDA,7905832,2019
GEORGIA,3852714,2019
HAWAII,465299,2019
IDAHO,655859,2019
ILLINOIS,4866006,2019
INDIANA,2597765,2019
IOWA,1287221,2019
KANSAS,1138329,2019
KENTUCKY,1748732,2019
LOUISIANA,1741076,2019
MAINE,573618,2019
MARYLAND,2226767,2019
MASSACHUSETTS,2650680,2019
MICHIGAN,3969880,2019
MINNESOTA,2222568,2019
MISSISSIPPI,1100229,2019
MISSOURI,2458337,2019
MONTANA,437651,2019
NEBRASKA,771444,2019
NEVADA,1143557,2019
NEW HAMPSHIRE,541396,2019
NEW JERSEY,3286264,2019
NEW MEXICO,793420,2019
NEW YORK,7446812,2019
NORTH CAROLINA,4046348,2019
NORTH DAKOTA,323519,2019
OHIO,4730340,2019
OKLAHOMA,1495151,2019
OREGON,1649352,2019
PENNSYLVANIA,5119249,2019
RHODE ISLAND,407174,2019
SOUTH CAROLINA,1975915,2019
SOUTH DAKOTA,353799,2019
TENNESSEE,2654737,2019
TEXAS,9985126,2019
UTAH,1023855,2019
VERMONT,262767,2019
VIRGINIA,3191847,2019
WASHINGTON,2932477,2019
WEST VIRGINIA,728175,2019
WISCONSIN,2386623,2019
WYOMING,233128,2019
PUERTO RICO,1170982,2019
