state,year,bbce,bbce_fpl,bbce_asset,bbce_child,bbce_senior,cap
ALABAMA,2017,1.0,-1.4471567514951784,1.0,0.0,1.0,0.0
ALABAMA,2018,1.0,-1.4471567514951784,1.0,0.0,1.0,0.0
ALABAMA,2019,1.0,-1.4471567514951784,1.0,0.0,1.0,0.0
ALASKA,2017,0.0,0.0,0.0,0.0,0.0,0.0
ALASKA,2018,0.0,0.0,0.0,0.0,0.0,0.0
ALASKA,2019,0.0,0.0,0.0,0.0,0.0,0.0
ARIZONA,2017,1.0,0.46591272199672357,1.0,0.0,0.0,1.0
ARIZONA,2018,1.0,0.46591272199672357,1.0,0.0,0.0,1.0
ARIZONA,2019,1.0,0.46591272199672357,1.0,0.0,0.0,1.0
ARKANSAS,2017,0.0,0.0,0.0,0.0,0.0,0.0
ARKANSAS,2018,0.0,0.0,0.0,0.0,0.0,0.0
ARKANSAS,2019,0.0,0.0,0.0,0.0,0.0,0.0
CALIFORNIA,2017,1.0,0.9876589420399696,1.0,0.0,0.0,0.0
CALIFORNIA,2018,1.0,0.9876589420399696,1.0,0.0,0.0,0.0
CALIFORNIA,2019,1.0,0.9876589420399696,1.0,0.0,0.0,0.0
COLORADO,2017,1.0,-1.4471567514951784,1.0,0.0,0.0,0.0
COLORADO,2018,1.0,-0.02684759693300847,1.0,0.0,0.0,0.0
COLORADO,2019,1.0,0.9876589420399696,1.0,0.0,0.0,0.0
CONNECTICUT,2017,1.0,0.46591272199672357,1.0,0.0,0.0,0.0
CONNECTICUT,2018,1.0,0.46591272199672357,1.0,0.0,0.0,0.0
CONNECTICUT,2019,1.0,0.46591272199672357,1.0,0.0,0.0,0.0
DELAWARE,2017,1.0,0.9876589420399696,1.0,0.0,0.0,0.0
DELAWARE,2018,1.0,0.9876589420399696,1.0,0.0,0.0,0.0
DELAWARE,2019,1.0,0.9876589420399696,1.0,0.0,0.0,0.0
DISTRICT OF COLUMBIA,2017,1.0,0.9876589420399696,1.0,0.0,0.0,0.0
DISTRICT OF COLUMBIA,2018,1.0,0.9876589420399696,1.0,0.0,0.0,0.0
DISTRICT OF COLUMBIA,2019,1.0,0.9876589420399696,1.0,0.0,0.0,0.0
FLORIDA,2017,1.0,0.9876589420399696,1.0,0.0,0.0,1.0
FLORIDA,2018,1.0,0.9876589420399696,1.0,0.0,0.0,1.0
FLORIDA,2019,1.0,0.9876589420399696,1.0,0.0,0.0,1.0
GEORGIA,2017,1.0,-1.4471567514951784,1.0,0.0,1.0,0.0
GEORGIA,2018,1.0,-1.4471567514951784,1.0,0.0,1.0,0.0
GEORGIA,2019,1.0,-1.4471567514951784,1.0,0.0,1.0,0.0
HAWAII,2017,1.0,0.9876589420399696,1.0,0.0,0.0,0.0
HAWAII,2018,1.0,0.9876589420399696,1.0,0.0,0.0,0.0
HAWAII,2019,1.0,0.9876589420399696,1.0,0.0,0.0,0.0
IDAHO,2017,1.0,-1.4471567514951784,0.0,0.0,1.0,0.0
IDAHO,2018,1.0,-1.4471567514951784,0.0,0.0,1.0,0.0
IDAHO,2019,1.0,-1.4471567514951784,0.0,0.0,1.0,0.0
ILLINOIS,2017,1.0,-0.22974890472760448,1.0,0.0,0.0,0.0
ILLINOIS,2018,1.0,-0.22974890472760448,1.0,0.0,0.0,0.0
ILLINOIS,2019,1.0,-0.22974890472760448,1.0,0.0,0.0,0.0
INDIANA,2017,0.0,0.0,0.0,0.0,0.0,0.0
INDIANA,2018,1.0,-1.4471567514951784,0.0,0.0,1.0,0.0
INDIANA,2019,1.0,-1.4471567514951784,0.0,0.0,1.0,0.0
IOWA,2017,1.0,-0.40366431140868647,1.0,0.0,0.0,0.0
IOWA,2018,1.0,-0.40366431140868647,1.0,0.0,0.0,0.0
IOWA,2019,1.0,-0.40366431140868647,1.0,0.0,0.0,0.0
KANSAS,2017,0.0,0.0,0.0,0.0,0.0,0.0
KANSAS,2018,0.0,0.0,0.0,0.0,0.0,0.0
KANSAS,2019,0.0,0.0,0.0,0.0,0.0,0.0
KENTUCKY,2017,1.0,-1.4471567514951784,1.0,0.0,0.0,1.0
KENTUCKY,2018,1.0,-1.4471567514951784,1.0,0.0,0.0,1.0
KENTUCKY,2019,1.0,-1.4471567514951784,1.0,0.0,0.0,1.0
LOUISIANA,2017,0.0,0.0,0.0,0.0,0.0,1.0
LOUISIANA,2018,0.0,0.0,0.0,0.0,0.0,1.0
LOUISIANA,2019,0.0,0.0,0.0,0.0,0.0,1.0
MAINE,2017,1.0,0.46591272199672357,1.0,1.0,0.0,0.0
MAINE,2018,1.0,0.46591272199672357,1.0,1.0,0.0,0.0
MAINE,2019,1.0,0.46591272199672357,1.0,0.9166666666666666,0.0,0.0
