"","SUPPLEMENTAL  NUTRITION ASSISTANCE PROGRAM : PAYMENT ERROR RATES","","",""
"","","Fiscal Year 2018 1","",""
"","","","","2"
"State/Territory","Over Payments","Under Payments","Payment Error Rates",""
"ALABAMA","3.93","0.66","4.59",""
"ALASKA","4.66","1.71","6.37",""
"ARIZONA","4.95","1.04","5.99",""
"ARKANSAS","4.77","0.83","5.60",""
"CALIFORNIA","5.96","1.30","7.25",""
"COLORADO","4.04","1.39","5.43",""
"CONNECTICUT","6.72","2.05","8.77",""
"DELAWARE","11.95","1.29","13.24",""
"DIST. OF COL.","13.69","2.65","16.33",""
"FLORIDA","3.90","0.49","4.39",""
"GEORGIA","7.39","1.72","9.11",""
"GUAM","6.82","2.28","9.09",""
"HAWAII","3.67","0.81","4.48",""
"IDAHO","1.83","0.30","2.13",""
"ILLINOIS","7.89","1.72","9.61",""
"INDIANA","6.24","0.94","7.18",""
"IOWA","8.91","1.11","10.02",""
"KANSAS","4.83","1.03","5.86",""
"KENTUCKY","6.42","0.76","7.17",""
"LOUISIANA","2.17","0.53","2.70",""
"MAINE","9.84","2.46","12.30",""
"MARYLAND","6.22","1.10","7.32",""
"MASSACHUSETTS","3.20","1.26","4.46",""
"MICHIGAN","8.91","2.62","11.53",""
"MINNESOTA","6.76","2.36","9.13",""
"MISSISSIPPI","2.43","0.49","2.92",""
"MISSOURI","7.75","1.32","9.07",""
"MONTANA","7.97","1.70","9.68",""
"NEBRASKA","4.05","0.74","4.79",""
"NEVADA","5.22","0.66","5.88",""
"NEW HAMPSHIRE","4.44","1.18","5.61",""
"NEW JERSEY","4.23","1.93","6.16",""
"NEW MEXICO","6.86","1.87","8.72",""
"NEW YORK","6.80","0.92","7.72",""
"NORTH CAROLINA","3.74","1.23","4.97",""
"NORTH DAKOTA","3.33","1.18","4.52",""
"OHIO","6.03","1.43","7.46",""
"OKLAHOMA","5.86","1.12","6.98",""
"OREGON","8.15","0.71","8.86",""
"PENNSYLVANIA","5.26","1.24","6.51",""
"RHODE ISLAND","12.31","1.50","13.81",""
"SOUTH CAROLINA","4.70","0.57","5.27",""
"SOUTH DAKOTA","0.90","0.13","1.04",""
"TENNESSEE","3.58","0.61","4.19",""
"TEXAS","3.37","1.48","4.84",""
"UTAH","5.21","0.76","5.97",""
"VERMONT","3.35","0.21","3.56",""
"VIRGIN ISLANDS","5.85","1.02","6.87",""
"VIRGINIA","7.89","1.73","9.62",""
"WASHINGTON","5.86","0.73","6.59",""
"WEST VIRGINIA","5.60","1.15","6.75",""
"WISCONSIN","6.65","1.28","7.94",""
"WYOMING","3.15","1.06","4.21",""
"TOTAL","5.59","1.22","6.80",""
