"","SUPPLEMENTAL  NUTRITION ASSISTANCE PROGRAM : PAYMENT ERROR RATES","",""
"","","Fiscal Year 2019  1",""
"State/Territory","Over Payments","Under Payments","Payment Error Rates 2"
"ALABAMA","6.87","0.42","7.29"
"ALASKA","9.07","2.12","11.19"
"ARIZONA","4.41","0.84","5.24"
"ARKANSAS","5.48","0.43","5.91"
"CALIFORNIA","6.42","0.89","7.31"
"COLORADO","6.91","1.76","8.67"
"CONNECTICUT","9.08","1.42","10.50"
"DELAWARE","11.04","2.12","13.16"
"DIST. OF COL.","13.30","2.44","15.74"
"FLORIDA","4.56","0.77","5.33"
"GEORGIA","7.45","1.85","9.30"
"GUAM","9.74","2.15","11.89"
"HAWAII","4.45","1.76","6.21"
"IDAHO","1.02","0.23","1.25"
"ILLINOIS","7.42","1.41","8.84"
"INDIANA","7.69","1.51","9.20"
"IOWA","10.78","1.68","12.47"
"KANSAS","6.59","0.51","7.10"
"KENTUCKY","5.91","1.20","7.11"
"LOUISIANA","3.26","0.53","3.79"
"MAINE","15.66","3.46","19.12"
"MARYLAND","6.82","1.61","8.43"
"MASSACHUSETTS","3.96","0.93","4.89"
"MICHIGAN","9.71","2.73","12.44"
"MINNESOTA","7.83","1.94","9.78"
"MISSISSIPPI","5.30","1.27","6.57"
"MISSOURI","5.05","0.87","5.92"
"MONTANA","5.32","1.96","7.29"
"NEBRASKA","4.77","0.78","5.55"
"NEVADA","6.10","0.59","6.69"
"NEW HAMPSHIRE","6.70","1.83","8.53"
"NEW JERSEY","5.21","3.26","8.47"
"NEW MEXICO","7.32","2.02","9.34"
"NEW YORK","5.94","0.37","6.30"
"NORTH CAROLINA","4.20","1.59","5.78"
"NORTH DAKOTA","3.95","0.96","4.92"
"OHIO","6.56","1.48","8.04"
"OKLAHOMA","7.03","1.06","8.09"
"OREGON","8.93","0.81","9.74"
"PENNSYLVANIA","5.83","1.17","7.01"
"RHODE ISLAND","21.57","1.09","22.66"
"SOUTH CAROLINA","4.11","0.98","5.09"
"SOUTH DAKOTA","1.91","0.50","2.41"
"TENNESSEE","5.88","0.84","6.72"
"TEXAS","5.18","1.43","6.60"
"UTAH","3.62","0.71","4.33"
"VERMONT","2.56","0.45","3.01"
"VIRGIN ISLANDS","5.28","1.49","*6.76"
"VIRGINIA","9.65","0.87","10.52"
"WASHINGTON","4.10","0.78","4.88"
"WEST VIRGINIA","5.66","1.78","7.44"
"WISCONSIN","4.64","0.76","5.40"
"WYOMING","2.25","0.17","2.42"
"TOTAL","6.18","1.18","7.36"
