"","SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM: PAYMENT ERROR RATES","",""
"","FISCAL YEAR 2024  1","",""
"State/Territory","Over Payments","Under Payments","Payment Error Rates 2"
"ALABAMA","7.32","0.99","8.32"
"ALASKA","22.50","2.16","24.66"
"ARIZONA","7.56","1.28","8.84"
"ARKANSAS","7.97","1.59","9.56"
"CALIFORNIA","9.01","1.98","10.98"
"COLORADO","7.91","2.06","9.97"
"CONNECTICUT","8.61","1.65","10.25"
"DELAWARE","10.49","1.88","12.37"
"DISTRICT OF COLUMBIA","13.62","3.76","17.38"
"FLORIDA","13.05","2.08","15.13"
"GEORGIA","13.59","2.06","15.65"
"GUAM","7.88","1.84","9.72"
"HAWAII","5.87","0.80","6.68"
"IDAHO","3.02","0.57","3.59"
"ILLINOIS","10.64","0.93","11.56"
"INDIANA","7.42","2.10","9.52"
"IOWA","5.30","0.84","6.14"
"KANSAS","9.43","0.55","9.98"
"KENTUCKY","8.23","0.88","9.11"
"LOUISIANA","5.14","1.48","6.62"
"MAINE","8.57","1.68","10.26"
"MARYLAND","8.85","4.79","13.64"
"MASSACHUSETTS","13.03","1.07","14.10"
"MICHIGAN","8.03","1.50","9.53"
"MINNESOTA","6.32","2.66","8.98"
"MISSISSIPPI","8.93","1.76","10.69"
"MISSOURI","8.16","1.26","9.42"
"MONTANA","6.47","2.41","8.89"
"NEBRASKA","4.64","0.86","5.50"
"NEVADA","5.63","0.32","5.94"
"NEW HAMPSHIRE","4.52","3.05","7.57"
"NEW JERSEY","12.11","2.22","14.33"
"NEW MEXICO","13.07","1.54","14.61"
"NEW YORK","12.65","1.44","14.09"
"NORTH CAROLINA","8.11","2.10","10.21"
"NORTH DAKOTA","5.72","2.19","7.91"
"OHIO","7.67","1.34","9.01"
"OKLAHOMA","9.63","1.25","10.87"
"OREGON","12.66","1.40","14.06"
"PENNSYLVANIA","9.49","1.27","10.76"
"RHODE ISLAND","10.61","1.68","12.29"
"SOUTH CAROLINA","7.89","1.36","9.25"
"SOUTH DAKOTA","2.43","0.85","3.28"
"TENNESSEE","8.43","1.04","9.47"
"TEXAS","5.77","2.55","8.32"
"UTAH","5.09","0.65","5.74"
"VERMONT","4.74","0.39","5.13"
"VIRGIN ISLANDS","3.00","0.54","3.54"
"VIRGINIA","9.54","1.96","11.50"
"WASHINGTON","5.79","0.26","6.06"
"WEST VIRGINIA","8.57","0.86","9.43"
"WISCONSIN","3.81","0.66","4.47"
"WYOMING","3.27","1.85","5.12"
"UNITED STATES","9.26","1.67","10.93"
