state,snap_rate,year
ALABAMA,14.0,2017
ALASKA,10.8,2017
ARIZONA,10.8,2017
ARKANSAS,11.8,2017
CALIFORNIA,8.9,2017
COLORADO,7.6,2017
CONNECTICUT,12.0,2017
DELAWARE,10.4,2017
DISTRICT OF COLUMBIA,13.2,2017
FLORIDA,13.6,2017
GEORGIA,12.6,2017
HAWAII,10.7,2017
IDAHO,9.7,2017
ILLINOIS,12.9,2017
INDIANA,9.3,2017
IOWA,9.6,2017
KANSAS,7.7,2017
KENTUCKY,14.1,2017
LOUISIANA,16.4,2017
MAINE,12.8,2017
MARYLAND,10.3,2017
MASSACHUSETTS,11.7,2017
MICHIGAN,13.1,2017
MINNESOTA,7.8,2017
MISSISSIPPI,15.3,2017
MISSOURI,11.0,2017
MONTANA,9.4,2017
NEBRASKA,8.3,2017
NEVADA,12.2,2017
NEW HAMPSHIRE,7.0,2017
NEW JERSEY,8.9,2017
NEW MEXICO,17.4,2017
NEW YORK,14.8,2017
NORTH CAROLINA,12.3,2017
NORTH DAKOTA,6.3,2017
OHIO,13.2,2017
OKLAHOMA,13.2,2017
OREGON,15.4,2017
PENNSYLVANIA,12.9,2017
RHODE ISLAND,15.4,2017
SOUTH CAROLINA,12.3,2017
SOUTH DAKOTA,8.9,2017
TENNESSEE,13.5,2017
TEXAS,12.0,2017
UTAH,6.8,2017
VERMONT,11.5,2017
VIRGINIA,8.1,2017
WASHINGTON,12.3,2017
WEST VIRGINIA,16.8,2017
WISCONSIN,10.6,2017
WYOMING,6.3,2017
PUERTO RICO,37.9,2017
