state,snap_rate,year
ALABAMA,13.8,2023
ALASKA,9.8,2023
ARIZONA,10.1,2023
ARKANSAS,8.3,2023
CALIFORNIA,13.4,2023
COLORADO,9.0,2023
CONNECTICUT,11.9,2023
DELAWARE,11.5,2023
DISTRICT OF COLUMBIA,15.1,2023
FLORIDA,11.9,2023
GEORGIA,12.4,2023
HAWAII,11.0,2023
IDAHO,7.0,2023
ILLINOIS,14.1,2023
INDIANA,8.7,2023
IOWA,8.7,2023
KANSAS,6.8,2023
KENTUCKY,13.1,2023
LOUISIANA,17.4,2023
MAINE,12.6,2023
MARYLAND,10.4,2023
MASSACHUSETTS,15.7,2023
MICHIGAN,14.0,2023
MINNESOTA,7.9,2023
MISSISSIPPI,12.9,2023
MISSOURI,9.6,2023
MONTANA,7.5,2023
NEBRASKA,7.8,2023
NEVADA,13.1,2023
NEW HAMPSHIRE,6.3,2023
NEW JERSEY,9.7,2023
NEW MEXICO,20.0,2023
NEW YORK,16.2,2023
NORTH CAROLINA,12.6,2023
NORTH DAKOTA,7.1,2023
OHIO,12.4,2023
OKLAHOMA,15.1,2023
OREGON,16.8,2023
PENNSYLVANIA,14.9,2023
RHODE ISLAND,13.1,2023
SOUTH CAROLINA,10.7,2023
SOUTH DAKOTA,7.5,2023
TENNESSEE,9.9,2023
TEXAS,11.2,2023
UTAH,5.2,2023
VERMONT,10.0,2023
VIRGINIA,9.9,2023
WASHINGTON,12.0,2023
WEST VIRGINIA,18.3,2023
WISCONSIN,11.4,2023
WYOMING,5.3,2023
PUERTO RICO,46.7,2023
