                         data       coef   contrib
Intercept                 NaN  11.011085       NaN
allotment            0.333333  -1.542719  -0.51424
bbce                        1  -1.733123 -1.733123
bbce_fpl             0.668064   0.202361   0.13519
extendcert                0.0  -3.431364      -0.0
face                      0.0  -1.188134      -0.0
households           1.117638  -0.155926 -0.174268
over_payment            15.03        NaN       NaN
postpone                  0.0   0.615490       0.0
report                    0.0   2.996837       0.0
republican_governor         0  -1.663250      -0.0
snap_rate            0.576945   2.219859  1.280738
telephonic                0.0   0.733243       0.0
waiveini                  0.0   4.052304       0.0
