                         data       coef   contrib
Intercept                 NaN  11.011085       NaN
allotment                 0.0  -1.542719      -0.0
bbce                        0  -1.733123      -0.0
bbce_fpl                  0.0   0.202361       0.0
extendcert                0.0  -3.431364      -0.0
face                      0.0  -1.188134      -0.0
households           0.177464  -0.155926 -0.027671
over_payment            11.54        NaN       NaN
postpone                  0.0   0.615490       0.0
report                    0.0   2.996837       0.0
republican_governor         1  -1.663250  -1.66325
snap_rate           -0.352228   2.219859 -0.781897
telephonic                0.0   0.733243       0.0
waiveini                  0.0   4.052304       0.0
