                         data      coef   contrib
Intercept                 NaN  0.717992       NaN
allotment            0.333333  0.002232  0.000744
bbce                        1  0.749905  0.749905
bbce_fpl             0.668064  0.101793  0.068005
extendcert                0.0 -0.122471      -0.0
face                      0.0  0.287498       0.0
households           1.117638  0.017458  0.019512
postpone                  0.0  0.137020       0.0
report                    0.0  0.366326       0.0
republican_governor         0 -0.039938      -0.0
snap_rate            0.576945 -0.220932 -0.127466
telephonic                0.0  0.077845       0.0
under_payment            1.58       NaN       NaN
waiveini                  0.0  0.506328       0.0
