                         data      coef   contrib
Intercept                 NaN  0.717992       NaN
allotment                 0.0  0.002232       0.0
bbce                        0  0.749905       0.0
bbce_fpl                  0.0  0.101793       0.0
extendcert                0.0 -0.122471      -0.0
face                      0.0  0.287498       0.0
households           0.177464  0.017458  0.003098
postpone                  0.0  0.137020       0.0
report                    0.0  0.366326       0.0
republican_governor         1 -0.039938 -0.039938
snap_rate           -0.352228 -0.220932  0.077819
telephonic                0.0  0.077845       0.0
under_payment            1.02       NaN       NaN
waiveini                  0.0  0.506328       0.0
