year,state,y_true,y_pred
2017,ALABAMA,3.15,5.237827485448615
2017,ALASKA,5.8,6.869603169806241
2017,ARIZONA,7.55,4.462520525789841
2017,ARKANSAS,5.17,5.8071354729005655
2017,CALIFORNIA,6.61,6.534585199723064
2017,COLORADO,4.75,6.420337681778166
2017,CONNECTICUT,4.71,8.046490049584305
2017,DELAWARE,12.27,7.7503627736176774
2017,DISTRICT OF COLUMBIA,8.72,8.544039483450707
2017,FLORIDA,5.28,5.021258285112242
2017,GEORGIA,5.5,4.724015098710705
2017,HAWAII,4.74,7.828605472687492
2017,IDAHO,2.05,5.038853393849011
2017,ILLINOIS,5.01,6.673257796063255
2017,INDIANA,8.84,5.014712049276815
2017,IOWA,8.36,5.935541269933058
2017,KANSAS,2.9,4.65349903974542
2017,KENTUCKY,5.63,5.10678671022598
2017,LOUISIANA,5.51,6.470911520301865
2017,MAINE,9.56,9.136465411704709
2017,MARYLAND,5.21,4.435345975922296
2017,MASSACHUSETTS,3.09,4.804850641519561
2017,MICHIGAN,9.06,6.052418548474535
2017,MINNESOTA,5.71,6.689959617576886
2017,MISSISSIPPI,2.8,3.7678735838211797
2017,MISSOURI,7.06,5.504472978065744
2017,MONTANA,7.34,7.464533297276271
2017,NEBRASKA,3.54,4.636300226900779
2017,NEVADA,4.77,6.923679394854865
2017,NEW HAMPSHIRE,3.63,7.50312271729249
2017,NEW JERSEY,4.44,3.8854510722982516
2017,NEW MEXICO,5.81,8.194530867449046
2017,NEW YORK,4.65,6.241724244209609
2017,NORTH CAROLINA,3.78,6.176845675819555
2017,NORTH DAKOTA,3.68,5.310204815246324
2017,OHIO,4.47,6.5519377262908245
2017,OKLAHOMA,4.5,5.035718815405293
2017,OREGON,5.69,8.988934928671725
2017,PENNSYLVANIA,4.64,6.03442071181179
2017,RHODE ISLAND,10.07,9.063871878368198
2017,SOUTH CAROLINA,3.05,4.588355873634753
2017,SOUTH DAKOTA,0.85,3.157568198454068
2017,TENNESSEE,3.96,6.196067698478094
2017,TEXAS,2.81,5.170696505881027
2017,UTAH,4.51,4.4095589093755025
2017,VERMONT,6.51,6.686991811875653
2017,VIRGINIA,7.95,4.045659725314402
2017,WASHINGTON,4.52,6.246753222165831
2017,WEST VIRGINIA,8.15,7.384969057736986
2017,WISCONSIN,6.26,6.394140448864592
2017,WYOMING,2.52,4.315701408603919
2018,ALABAMA,3.93,5.039759290668198
2018,ALASKA,4.66,6.8975385633366075
2018,ARIZONA,4.95,4.345977139873232
2018,ARKANSAS,4.77,5.69423336372086
2018,CALIFORNIA,5.96,6.417684402874441
2018,COLORADO,4.04,6.555787343149628
2018,CONNECTICUT,6.72,7.819757716751678
2018,DELAWARE,11.95,8.00332133694678
2018,DISTRICT OF COLUMBIA,13.69,8.76905782421948
2018,FLORIDA,3.9,5.070119202105452
2018,GEORGIA,7.39,4.523161180787792
2018,HAWAII,3.67,7.631558774531156
2018,IDAHO,1.83,4.812509515712449
2018,ILLINOIS,7.89,6.500687714404217
2018,INDIANA,6.24,4.689657801848733
2018,IOWA,8.91,5.934891044184134
2018,KANSAS,4.83,4.540524181542879
2018,KENTUCKY,6.42,4.852736096263581
2018,LOUISIANA,2.17,6.076464726796367
2018,MAINE,9.84,9.162799197868564
2018,MARYLAND,6.22,4.181238103461753
2018,MASSACHUSETTS,3.2,4.747289066824668
2018,MICHIGAN,8.91,5.909825411156501
2018,MINNESOTA,6.76,6.547065951536933
2018,MISSISSIPPI,2.43,3.6259577022769314
2018,MISSOURI,7.75,5.416834868126174
2018,MONTANA,7.97,7.323139201826836
2018,NEBRASKA,4.05,4.663784701918921
2018,NEVADA,5.22,6.639728662028164
2018,NEW HAMPSHIRE,4.44,7.418442168704525
2018,NEW JERSEY,4.23,4.973922088272349
2018,NEW MEXICO,6.86,8.164701616167333
2018,NEW YORK,6.8,6.181444427362367
2018,NORTH CAROLINA,3.74,5.976088652069296
2018,NORTH DAKOTA,3.33,5.507233953293703
2018,OHIO,6.03,6.297223841927135
2018,OKLAHOMA,5.86,4.8375611267838545
2018,OREGON,8.15,8.789435835869757
2018,PENNSYLVANIA,5.26,6.17139279553702
2018,RHODE ISLAND,12.31,9.064008282786014
2018,SOUTH CAROLINA,4.7,4.333351244038423
2018,SOUTH DAKOTA,0.9,2.932098939173069
2018,TENNESSEE,3.58,6.054287594204912
2018,TEXAS,3.37,5.132976431494066
2018,UTAH,5.21,4.3235656799280955
2018,VERMONT,3.35,6.376776592600814
2018,VIRGINIA,7.89,3.985884071738341
2018,WASHINGTON,5.86,5.905199460244157
2018,WEST VIRGINIA,5.6,8.40047345477144
2018,WISCONSIN,6.65,6.223735591355011
2018,WYOMING,3.15,3.9491555782722916
2019,ALABAMA,6.87,4.9525776808469155
2019,ALASKA,9.07,5.441019010706619
2019,ARIZONA,4.41,4.060712785466966
2019,ARKANSAS,5.48,5.581078200828103
2019,CALIFORNIA,6.42,6.38413222034916
2019,COLORADO,6.91,6.6465351428189985
2019,CONNECTICUT,9.08,7.791641391384346
2019,DELAWARE,11.04,7.6646919603137125
2019,DISTRICT OF COLUMBIA,13.3,8.008093986418114
2019,FLORIDA,4.56,4.500582137731766
2019,GEORGIA,7.45,4.3228237809270045
2019,HAWAII,4.45,7.743629600695625
2019,IDAHO,1.02,4.642485837996651
2019,ILLINOIS,7.42,6.359744412037659
2019,INDIANA,7.69,4.577048507485936
2019,IOWA,10.78,5.9055033042134175
2019,KANSAS,6.59,4.455692553303183
2019,KENTUCKY,5.91,4.485465096146577
2019,LOUISIANA,3.26,5.907176880360671
2019,MAINE,15.66,8.818458956798098
2019,MARYLAND,6.82,4.293256123869993
2019,MASSACHUSETTS,3.96,4.661111268089154
2019,MICHIGAN,9.71,5.655477843208653
2019,MINNESOTA,7.83,6.573477002180214
2019,MISSISSIPPI,5.3,3.7055792136307852
2019,MISSOURI,5.05,5.2744874469042315
2019,MONTANA,5.32,7.266399816519325
2019,NEBRASKA,4.77,4.4380166072122265
2019,NEVADA,6.1,6.4416461683018795
2019,NEW HAMPSHIRE,6.7,7.220583127364758
2019,NEW JERSEY,5.21,4.74622595631651
2019,NEW MEXICO,7.32,7.9111747951693445
2019,NEW YORK,5.94,6.035568302244891
2019,NORTH CAROLINA,4.2,5.973900787922218
2019,NORTH DAKOTA,3.95,5.478798472946022
2019,OHIO,6.56,6.209885382704035
2019,OKLAHOMA,7.03,4.6960722694607115
2019,OREGON,8.93,8.422581073049782
2019,PENNSYLVANIA,5.83,6.196536884318829
2019,RHODE ISLAND,21.57,8.810401563292258
2019,SOUTH CAROLINA,4.11,3.9077306593369396
2019,SOUTH DAKOTA,1.91,3.100621290287453
2019,TENNESSEE,5.88,5.600262322061104
2019,TEXAS,5.18,4.80994866686051
2019,UTAH,3.62,4.040256706369211
2019,VERMONT,2.56,6.263991822577767
2019,VIRGINIA,9.65,3.956686043659067
2019,WASHINGTON,4.1,5.7620134811046935
2019,WEST VIRGINIA,5.66,9.558475286530093
2019,WISCONSIN,4.64,6.05376998742813
2019,WYOMING,2.25,3.8644522015426794
